Date,Anomaly
185001,-0.46
185002,-0.34
185003,-0.30
185004,-0.31
185005,-0.31
185006,-0.28
185007,-0.24
185008,-0.21
185009,-0.20
185010,-0.21
185011,-0.21
185012,-0.20
185101,-0.18
185102,-0.13
185103,-0.17
185104,-0.21
185105,-0.23
185106,-0.21
185107,-0.17
185108,-0.14
185109,-0.12
185110,-0.10
185111,-0.10
185112,-0.09
185201,-0.02
185202,-0.13
185203,-0.22
185204,-0.25
185205,-0.22
185206,-0.17
185207,-0.13
185208,-0.10
185209,-0.08
185210,-0.07
185211,-0.06
185212,-0.05
185301,-0.13
185302,-0.19
185303,-0.20
185304,-0.22
185305,-0.20
185306,-0.16
185307,-0.12
185308,-0.11
185309,-0.10
185310,-0.10
185311,-0.11
185312,-0.11
185401,-0.28
185402,-0.24
185403,-0.17
185404,-0.16
185405,-0.15
185406,-0.13
185407,-0.12
185408,-0.11
185409,-0.10
185410,-0.09
185411,-0.08
185412,-0.07
185501,-0.08
185502,-0.08
185503,-0.07
185504,-0.07
185505,-0.08
185506,-0.08
185507,-0.08
185508,-0.09
185509,-0.09
185510,-0.08
185511,-0.08
185512,-0.08
185601,0.18
185602,0.08
185603,0.01
185604,-0.05
185605,-0.08
185606,-0.07
185607,-0.08
185608,-0.11
185609,-0.12
185610,-0.15
185611,-0.15
185612,-0.15
185701,-0.15
185702,-0.25
185703,-0.22
185704,-0.24
185705,-0.26
185706,-0.25
185707,-0.24
185708,-0.23
185709,-0.23
185710,-0.22
185711,-0.22
185712,-0.20
185801,-0.13
185802,-0.18
185803,-0.16
185804,-0.16
185805,-0.21
185806,-0.20
185807,-0.19
185808,-0.19
185809,-0.19
185810,-0.19
185811,-0.18
185812,-0.19
185901,-0.15
185902,-0.11
185903,-0.07
185904,-0.07
185905,-0.05
185906,-0.04
185907,-0.06
185908,-0.05
185909,-0.06
185910,-0.07
185911,-0.07
185912,-0.05
186001,-0.13
186002,-0.16
186003,-0.18
186004,-0.19
186005,-0.20
186006,-0.19
186007,-0.20
186008,-0.19
186009,-0.20
186010,-0.21
186011,-0.21
186012,-0.23
186101,-0.62
186102,-0.57
186103,-0.47
186104,-0.44
186105,-0.43
186106,-0.40
186107,-0.36
186108,-0.33
186109,-0.31
186110,-0.31
186111,-0.29
186112,-0.29
186201,-0.44
186202,-0.46
186203,-0.43
186204,-0.43
186205,-0.42
186206,-0.39
186207,-0.38
186208,-0.36
186209,-0.35
186210,-0.36
